file,tau,m,mLAM,mTT,mDEratio,rank,group
pks0208-512_lc_liner.csv,29,5,0.4686208192408869,2.6759656652360513,11.831338042042837,116,Low
b3_1343+451_lc_liner.csv,14,4,0.6914796152084288,3.64320193081255,11.79072315558802,117,Low
s4_1144+40_lc_liner.csv,16,5,0.7776637842591235,5.274353876739562,11.784871496515319,118,Low
mg1_j123931+0443_lc_liner.csv,12,6,0.7905703218912782,4.907960199004975,11.504277865971646,119,Low
mg1_j021114+1051_lc_liner.csv,3,4,0.7107303651825913,5.175774134790529,11.382880034314306,120,Low
b2_1520+31_lc_liner.csv,36,4,0.6501047020750048,3.531540847983454,11.231129083128153,121,Low
txs0059+581_lc_liner.csv,12,5,0.7639296187683284,4.415254237288136,11.20490121988975,122,Low
pks1510-089_lc_liner.csv,5,5,0.7194262396438729,3.3360091743119265,10.982298346645067,123,Low
4c+38.41_lc_liner.csv,18,4,0.707469745444429,3.6498026551847866,10.63958135217672,124,Low
4c+01.02_lc_liner.csv,24,5,0.766317960807426,4.005390835579515,10.564755174550955,125,Low
w_comae_lc_liner.csv,3,4,0.649390243902439,4.073523161920952,10.358855509286801,126,Low
4c+01.28_lc_liner.csv,7,4,0.6902844198338787,4.233886530297182,10.318087738471785,127,Low
4c+28.07_lc_liner.csv,16,4,0.6915230875258442,3.6210754240346446,10.076710175401265,128,Low
3c273_lc_liner.csv,8,5,0.6894944189100459,3.0949012673150604,9.84752294970229,129,Low
oj287_lc_liner.csv,4,5,0.629182775629916,3.5699697428139183,9.374836765754257,130,Low
bl_lac_lc_liner.csv,9,4,0.5901583863544064,3.167090446785325,9.252614450849181,131,Low
s5_0716+71_lc_liner.csv,3,4,0.5903210057366044,3.790360501567398,9.179449747739483,132,Low
s4_1749+70_lc_liner.csv,3,4,0.6482384493477996,3.6875866851595007,9.052808474832865,133,Low
pks0727-11_lc_liner.csv,34,4,0.4992068887378201,2.9730094466936574,8.150485255925304,134,Low
pks0537-441_lc_liner.csv,82,6,0.5288035450516987,2.6227106227106227,8.101014773230583,135,Low
ox169_lc_liner.csv,2,4,0.6067576791808874,4.165417057169634,7.904710829479669,136,Low
ton599_lc_liner.csv,8,4,0.6266364225534673,2.935336976320583,7.8202197283406045,137,Low
1ES1959+650_lc_liner.csv,10,4,0.5826419910657307,2.6152964766542537,7.330380107587532,138,Low
s3_0218+35_lc_liner.csv,9,4,0.5901237593432177,2.677787044759522,7.04092988549084,139,Low
txs0506+056_lc_liner.csv,10,4,0.5625670600858369,2.6085199004975124,6.892407021047082,140,Low
s5_1803+784_lc_liner.csv,2,5,0.5299745670340318,3.394879751745539,6.738118437504717,141,Low
aplibrae_lc_liner.csv,2,4,0.48106530916314877,3.168029435813573,5.825735880521898,142,Low
mkn421_lc_liner.csv,6,4,0.38823529411764707,2.580246913580247,4.676968421052631,143,Low
3c66a_lc_liner.csv,2,4,0.3729315134678101,3.0107264748902973,4.347104821710289,144,Low
pks2155-304_lc_liner.csv,2,4,0.27716458180034337,2.6006904487917146,2.7777320926470086,145,Low
