name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,base_name,missing_rate,block_len
Lorenz attractor (x) + noise (missing 90%),89,2,0.1958825732215382,0.049511476288780616,0.9642501603875849,19.475285987505195,8.925360909183986,884,0.0011312217194570137,2.899413452919653,0.977700595093246,10.08557736193519,184.77691897654583,1911,0.0005232862375719519,Lorenz attractor (x) + noise,0.9,10
Sine wave + noise (missing 0%),19,2,0.3767073872276981,0.050031075122803435,0.4630946317612305,9.256139921529664,2.4695529360638817,11,0.09090909090909091,0.9200869444896138,0.5845370276051747,2.7924087591240876,42.943303768885166,1198,0.0008347245409015025,Sine wave + noise,0.0,10
Sine wave + noise (missing 20%),19,2,0.37054098106280553,0.050010180001279186,0.5215583568567905,10.429043783554665,2.669935833898482,23,0.043478260869565216,1.117417744995668,0.6578992958248836,3.174382298709281,49.046819189759795,1494,0.0006693440428380187,Sine wave + noise,0.2,10
Sine wave + noise (missing 50%),19,2,0.38469545467632804,0.05010955923779693,0.6153838330417802,12.280767230888053,3.1737214791502755,34,0.029411764705882353,1.4644976778573955,0.7522375005085229,3.8692683947581807,60.05491723466407,1697,0.0005892751915144372,Sine wave + noise,0.5,10
Sine wave + noise (missing 70%),19,2,0.38924954881181245,0.050049931695886285,0.6773244269756739,13.532974052616833,3.447957702674684,34,0.029411764705882353,1.623022827730193,0.8011445212663049,4.150668671361874,66.49241730827904,1981,0.0005047955577990914,Sine wave + noise,0.7,10
Sine wave + noise (missing 90%),19,2,0.39877680197675397,0.050232891418501,0.7249355761621654,14.431492109872226,3.81088,51,0.0196078431372549,1.7936802745940088,0.8363837428727959,4.444989620683148,72.53252724462445,1981,0.0005047955577990914,Sine wave + noise,0.9,10
Logistic map + noise (missing 0%),1,2,0.43327318912365276,0.04997195946647661,0.42460237971235126,8.496812697472734,2.3158527258822246,9,0.1111111111111111,0.7250558555471027,0.08187772925764192,2.259535655058043,21.013494377342774,1999,0.0005002501250625312,Logistic map + noise,0.0,10
Logistic map + noise (missing 20%),1,2,0.4269227913899711,0.04997195946647661,0.48205200112174995,9.646449854445505,2.674037446524807,23,0.043478260869565216,1.0687456331756742,0.36346200072112494,3.868816631130064,26.97188251875685,1999,0.0005002501250625312,Logistic map + noise,0.2,10
Logistic map + noise (missing 50%),1,2,0.34998346560485216,0.04996745496309936,0.6817348625231632,13.643577865364964,3.4671930718288335,48,0.020833333333333332,1.6145861460153141,0.7376871838533581,4.548076329278083,45.032582762590955,1999,0.0005002501250625312,Logistic map + noise,0.5,10
Logistic map + noise (missing 70%),1,2,0.3022009682618771,0.04996745496309936,0.7791055241147894,15.592259495508703,3.8456442203104912,48,0.020833333333333332,1.7942650571522085,0.8420043071067261,4.870024911650542,57.37807349160744,1999,0.0005002501250625312,Logistic map + noise,0.7,10
Logistic map + noise (missing 90%),4,2,0.3749757754116804,0.049915964192914886,0.6428348737340722,12.878342312484405,5.05528313824739,56,0.017857142857142856,2.2404456785593703,0.7767290537346756,5.439483043983519,55.01940659212672,1996,0.000501002004008016,Logistic map + noise,0.9,10
