name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E2_9,E2_mean,E2_last,E2_values,base_name,missing_rate,block_len,n_trials,noise_ratio
Brownian motion (missing 50%),200.0,2.0,0.1722367187070117,0.04537716049382716,0.9549319149515039,21.04432945030589,8.59321826416942,1799.0,0.0005558643690939411,2.848769703114151,0.9733713321815782,10.5965938541281,224.96269581056467,1767.0,0.0005659309564233164,0.7325108259075939,0.8877780607436555,0.8341672531455119,0.9053049435850219,0.8777876340085334,0.8549185859749489,0.7113389928900846,0.8116864397984572,,0.826936592006726,,"[0.7325108259075939, 0.8877780607436555, 0.8341672531455119, 0.9053049435850219, 0.8777876340085334, 0.8549185859749489, 0.7113389928900846, 0.8116864397984572, nan]",Brownian motion,0.5,10,,
Brownian motion (missing 70%),200.0,2.0,0.16754004512471915,0.045538888888888886,0.9645940926897374,21.18176609541939,9.721448087431694,1799.0,0.0005558643690939411,2.991585491510817,0.9793149255147547,11.845712411870798,253.96290508307288,1765.0,0.0005665722379603399,0.7187190565017679,0.8714129610731827,0.8702605637103497,0.8988083574514495,0.8837076785887852,0.8154563803949175,0.7114641985260028,0.7930425729073889,,0.8203589711442305,,"[0.7187190565017679, 0.8714129610731827, 0.8702605637103497, 0.8988083574514495, 0.8837076785887852, 0.8154563803949175, 0.7114641985260028, 0.7930425729073889, nan]",Brownian motion,0.7,10,,
Brownian motion (missing 90%),200.0,2.0,0.17078362945657014,0.04563333333333333,0.9710115520926331,21.27855848267275,11.2125898156826,1799.0,0.0005558643690939411,3.1364022034536974,0.9834902470037605,13.331896946914826,290.1486562676189,1763.0,0.0005672149744753262,0.6855531392689644,0.8669918069400273,0.8643493362643062,0.8961812141249161,0.8791001319502111,0.7654424403972347,0.7098026642490173,0.7427576560789626,,0.8012722986592049,,"[0.6855531392689644, 0.8669918069400273, 0.8643493362643062, 0.8961812141249161, 0.8791001319502111, 0.7654424403972347, 0.7098026642490173, 0.7427576560789626, nan]",Brownian motion,0.9,10,,
Lorenz + white noise (missing 0%) + noise(avg5),33.2,2.0,0.2850345828051592,0.049849932344695314,0.33860156128090557,6.792273006064401,2.2753881865829846,8.0,0.12793650793650793,0.6645225264122978,0.4587915360582131,2.4837784071912288,34.25620426030751,1966.8,0.0005084401793509572,0.9176594473618028,0.9461635712202942,0.9808646099088181,1.0100711912625724,1.0072863252133442,1.0231895322463158,1.015585500642369,0.996898801303888,1.0141357959437112,0.9902060861225683,1.0141357959437112,"[0.9333808870219229, 0.9405314099935465, 0.9847389836207937, 0.9992669498475468, 1.0139010793253183, 1.0328400520499532, 1.017305247958312, 0.9932298669789943, 1.0113346985614209]",Lorenz + white noise,0.0,10,5.0,0.05
Lorenz + white noise (missing 20%) + noise(avg5),35.4,2.0,0.2810256960416127,0.04978304331039472,0.38810485885808577,7.795863428558948,2.391360120436773,15.2,0.06679864253393665,0.8189831571656583,0.5417570254424202,2.8355873346040057,39.43094579753529,1964.6,0.000509009551950063,0.9025118111963464,0.9694045899161399,0.9834895655786438,1.0120136982780614,1.011699884460725,1.0050722446171863,0.9944395387854736,1.0069371423689435,1.0232751141780623,0.9898715099310648,1.0232751141780623,"[0.9010321019697599, 0.977867896726526, 0.9806063109984784, 1.0105002921025998, 1.010930642757486, 0.9995810535311531, 0.9889197890169453, 1.0103778133011438, 1.0220682333919895]",Lorenz + white noise,0.2,10,5.0,0.05
Lorenz + white noise (missing 50%) + noise(avg5),39.2,2.0,0.27478107493114357,0.049687713328560514,0.4823489562579355,9.707799696131701,2.647948568287545,23.6,0.04273992673992674,1.0784707704057528,0.6562826066520945,3.3803741542726335,48.08081352600583,1960.8,0.000509996153434584,0.901239080361534,0.9800727315647713,0.9811396106195873,1.0013027199570201,1.0125966517389677,0.9841836367279173,0.9867224307126602,1.0154765415774312,0.9941531838999342,0.9840985096844248,0.9941531838999342,"[0.917362590304818, 0.9887470717336998, 0.9742919925277036, 0.9857688527806625, 1.0269953295087078, 0.9918407446978241, 0.9803042129873866, 1.0158069228277435, 1.0017523996204412]",Lorenz + white noise,0.5,10,5.0,0.05
Lorenz + white noise (missing 70%) + noise(avg5),59.0,2.0,0.2745766175403485,0.04964363844673046,0.572411521242295,11.531485659399669,3.014833723899071,30.4,0.03386104149262044,1.3519672210199114,0.735552617216942,4.03339218846738,58.83965441675012,1941.0,0.0005152452412350018,0.8845445561126567,0.9571543281520076,0.9678429180351195,0.9726337898694289,0.989257577291208,0.9836615523940161,1.004190918875579,0.978873469358532,0.9940116745029808,0.9702411982879477,0.9940116745029808,"[0.8716145884929257, 0.9395022384978556, 1.0022483784979765, 0.9999621212232677, 0.9733443476129344, 1.0045072906279242, 0.9773665334906108, 1.0248622384197414, 1.0109154593663863]",Lorenz + white noise,0.7,10,5.0,0.05
Lorenz + white noise (missing 90%) + noise(avg5),72.6,2.0,0.2716798392154512,0.04935275702937708,0.642534774442977,13.020735790981082,3.414897062705615,39.8,0.025343503483038366,1.5848142373625398,0.7888345703393554,4.656122096896674,68.28962551693162,1927.4,0.0005188584749632283,0.886562003494546,0.9266983315366479,0.9583391100456783,0.9288343640962922,0.9970074993337386,1.002881648937715,1.0010330394029008,0.9209995343227348,0.9608092733514679,0.9536849782801913,0.9608092733514679,"[0.8865425812053231, 0.9111942776797107, 0.9397214114125245, 0.92533205586975, 0.9970782111714777, 1.0306751605229527, 0.9814930318101917, 0.9623392533120745, 0.9065171347944985]",Lorenz + white noise,0.9,10,5.0,0.05
Logistic + white noise (missing 0%) + noise(avg5),1.0,2.0,0.2502120579242751,0.04996485236114805,0.6099521499863144,12.20762488093515,2.6139777046994666,13.0,0.0784149184149184,1.0718216619630074,0.08301059919163829,2.416071450877614,20.477888481104948,1380.4,0.0007627819272434791,1.0144613712999795,1.1733711953764792,1.369029339560982,1.350909183291486,1.1768000216609762,1.0788437426679836,1.0333350746342587,1.0071643913082968,1.003844107509042,1.1341953808121648,1.003844107509042,"[1.019914108212903, 1.1776886453625743, 1.3846905117640602, 1.352943950948964, 1.1731236126656996, 1.074497369017101, 1.0332737146734594, 1.0053668121627812, 1.0051222227647787]",Logistic + white noise,0.0,10,5.0,0.05
Logistic + white noise (missing 20%) + noise(avg5),1.0,2.0,0.2856967763522202,0.049964251760697756,0.6366955421810891,12.743026858836583,2.741126027178953,23.0,0.04351119894598156,1.1761681947442235,0.26938814928151544,3.416374642790042,24.143469466314514,1269.6,0.0007989870237247674,0.7604777216446912,1.1703939955226121,1.317235099589982,1.2873811708961351,1.1163710667695064,1.0293348064616235,1.0168437041585332,1.0082975210547347,1.0075003358023653,1.0793150468777983,1.0075003358023653,"[0.7591192031771958, 1.18196552351896, 1.326702997454546, 1.2806328773809599, 1.113221839470001, 1.0273135230159007, 1.0166421922859947, 1.0060993000934477, 1.0067580594614447]",Logistic + white noise,0.2,10,5.0,0.05
Logistic + white noise (missing 50%) + noise(avg5),1.0,2.0,0.29438889090610826,0.0499657532618235,0.7062816263709684,14.135319537965145,3.13630230017748,48.0,0.020833333333333332,1.4264771169891906,0.5968914726705283,4.062851534838934,35.10890068362175,1427.4,0.000715401546194703,0.6592071030865615,1.2030993926185922,1.27967880069552,1.1544672117803785,1.0399867687777367,1.0150129859924601,1.0146383962155348,1.0127895734224317,1.0158093021596453,1.0438543927498736,1.0158093021596453,"[0.6694480321793395, 1.2120471645237085, 1.2853483787116078, 1.1492930864379487, 1.0421851769957566, 1.0118491349090981, 1.0159212362575032, 1.0114762034297202, 1.0148743141661882]",Logistic + white noise,0.5,10,5.0,0.05
Logistic + white noise (missing 70%) + noise(avg5),3.8,2.0,0.390481594713953,0.04994681329885786,0.5383525715671229,10.77846805042084,4.41791124858522,45.6,0.021932367149758457,1.9942695115868674,0.649816726470575,5.306622852008414,42.24497055549438,1284.4,0.0008145946368542142,0.9598465194450995,1.0253668477999807,1.025382125386971,1.0168935820067047,1.0085731412149381,1.0077874651574552,1.0064132679706315,1.0046721718850538,1.0056391625435241,1.0067304759344842,1.0056391625435241,"[0.9592943819241727, 1.0270277761597268, 1.0244435576789976, 1.0157857381857465, 1.0070378275892915, 1.0071368289190434, 1.0056501444883585, 1.00238593036849, 1.006564726695171]",Logistic + white noise,0.7,10,5.0,0.05
Logistic + white noise (missing 90%) + noise(avg5),4.8,2.0,0.39927421037065286,0.04990444941325213,0.5946006340736356,11.914713988317104,4.7961734592219125,54.2,0.01845117845117845,2.1410472258356448,0.7164460968520536,5.411675754280275,48.202378919165014,1222.8,0.0008792071299278123,0.9540120829313878,1.0311457034470883,1.024393802873204,1.0188530296025593,1.0134388093349072,1.0058167434629426,1.0074227094608683,1.0037347697450039,1.0023407009463945,1.0067953724227063,1.0023407009463945,"[0.9593641374900979, 1.0294893615006682, 1.019546566342482, 1.0185032093129303, 1.0126611020103322, 1.0026278438535348, 1.0085440645177242, 1.0023011880927672, 0.9994541409096871]",Logistic + white noise,0.9,10,5.0,0.05
