time,original
443,3.74676e-07
444,4.3032400000000006e-07
445,2.7411e-07
446,2.99017e-07
447,3.1348e-07
448,3.71897e-07
449,5.14412e-07
450,3.86095e-07
451,5.77767e-07
452,2.69885e-07
453,1.3619e-07
454,3.77787e-07
455,2.4673200000000004e-07
456,1.0523900000000001e-07
457,3.07613e-07
458,3.07745e-07
459,2.92684e-07
460,3.85155e-07
461,3.01205e-07
462,3.3521900000000003e-07
463,4.3912400000000003e-07
464,5.211680000000002e-07
465,4.955240000000001e-07
466,4.6874200000000006e-07
467,3.35725e-07
468,4.02849e-07
469,4.6584600000000005e-07
470,3.3329400000000005e-07
471,5.57614e-07
472,4.0408400000000006e-07
473,3.4973900000000003e-07
474,2.9913300000000004e-07
475,5.42509e-07
476,6.0917e-07
477,5.322470000000001e-07
478,5.1597e-07
479,5.8161e-07
480,4.0227500000000005e-07
481,4.4159400000000003e-07
482,5.05894e-07
483,4.97229e-07
484,5.20841e-07
485,6.956850000000001e-07
486,6.80352e-07
487,6.918540000000001e-07
488,5.19598e-07
489,6.62949e-07
490,3.9502400000000006e-07
491,4.3262700000000005e-07
492,4.4477500000000006e-07
493,9.61462e-08
494,3.1725100000000004e-07
495,3.16186e-07
496,2.67959e-07
497,1.32414e-07
498,2.6888e-07
499,1.7799500000000003e-07
500,2.0355200000000002e-07
501,1.5450700000000002e-07
502,1.7073792592592594e-07
503,2.0088107407407405e-07
504,2.1711200000000002e-07
505,1.89231e-07
506,3.01823e-07
507,9.95957e-08
508,3.6296e-07
509,4.41672e-07
510,1.1391800000000001e-07
511,4.2882900000000003e-07
512,2.4962000000000003e-07
513,2.76172e-07
514,2.57536e-07
515,3.1363400000000004e-07
516,3.06431e-07
517,2.99228e-07
518,3.18959e-07
519,3.34722e-07
520,2.0086300000000002e-07
521,3.6603000000000006e-07
522,2.7789300000000004e-07
523,4.1171200000000003e-07
524,1.0853500000000001e-07
525,2.4669900000000003e-07
526,2.27118e-07
527,3.2444500000000004e-07
528,3.5727500000000005e-07
529,1.18858e-07
530,2.00461e-07
531,2.0602496520523905e-07
532,2.0794276252629122e-07
533,2.1380200000000002e-07
534,4.19433e-07
535,2.15751e-07
536,3.9401100000000005e-07
537,3.56439e-07
538,3.1652800000000004e-07
539,3.4614900000000004e-07
540,3.2094100000000004e-07
541,3.4259100000000003e-07
542,3.0707700000000004e-07
543,2.55212e-07
544,2.2397400000000002e-07
